         584629 function calls (568917 primitive calls) in 0.340 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.001    0.000    0.011    0.000 ticker.py:2077(_raw_ticks)
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_builtin}
      966    0.001    0.000    0.002    0.000 cbook.py:2011(_setattr_cm)
      315    0.001    0.000    0.002    0.000 cbook.py:1743(normalize_kwargs)
      537    0.001    0.000    0.003    0.000 transforms.py:758(__init__)
     3957    0.001    0.000    0.002    0.000 __init__.py:690(_get)
       82    0.001    0.000    0.012    0.000 lines.py:738(draw)
       73    0.001    0.000    0.005    0.000 lines.py:666(recache)
      608    0.001    0.000    0.004    0.000 copy.py:259(_reconstruct)
     4412    0.001    0.000    0.001    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      757    0.001    0.000    0.002    0.000 cbook.py:285(process)
       68    0.001    0.000    0.019    0.000 text.py:734(draw)
     1430    0.001    0.000    0.001    0.000 {method 'pop' of 'collections.OrderedDict' objects}
1461/1447    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     9425    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
    10205    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     4292    0.001    0.000    0.001    0.000 linalg.py:140(isComplexType)
     4240    0.001    0.000    0.001    0.000 {built-in method builtins.min}
       59    0.001    0.000    0.007    0.000 lines.py:287(__init__)
     1612    0.001    0.000    0.001    0.000 __init__.py:99(check_in_list)
      144    0.001    0.000    0.002    0.000 artist.py:180(__init__)
        1    0.001    0.001    0.001    0.001 {method 'copy' of 'ImagingCore' objects}
       94    0.001    0.000    0.021    0.000 text.py:915(get_window_extent)
    34/14    0.001    0.000    0.013    0.001 {built-in method builtins.exec}
     1695    0.001    0.000    0.001    0.000 transforms.py:113(__init__)
       18    0.001    0.000    0.045    0.003 axis.py:1270(_update_ticks)
      548    0.001    0.000    0.001    0.000 {built-in method numpy.array}
        1    0.001    0.001    0.001    0.001 backend_agg.py:64(__init__)
      315    0.001    0.000    0.001    0.000 cbook.py:1782(<dictcomp>)
      950    0.001    0.000    0.001    0.000 transforms.py:1769(__init__)
      538    0.001    0.000    0.001    0.000 contextlib.py:102(__init__)
      276    0.001    0.000    0.001    0.000 transforms.py:182(set_children)
      471    0.001    0.000    0.002    0.000 transforms.py:1889(__init__)
        1    0.001    0.001    0.001    0.001 ImageMath.py:1(<module>)
      455    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.affine_transform}
      283    0.001    0.000    0.002    0.000 fromnumeric.py:40(_wrapit)
       34    0.001    0.000    0.001    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
       19    0.001    0.000    0.016    0.001 axis.py:65(__init__)
1207/1036    0.001    0.000    0.009    0.000 deprecation.py:289(wrapper)
      151    0.001    0.000    0.001    0.000 transforms.py:1975(rotate)
      264    0.001    0.000    0.010    0.000 text.py:65(_get_text_metrics_with_cache)
      484    0.001    0.000    0.002    0.000 fromnumeric.py:71(_wrapreduction)
       34    0.001    0.000    0.001    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     3964    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x7fba9f68b9a0}
    208/2    0.001    0.000    0.117    0.059 artist.py:54(draw_wrapper)
       75    0.001    0.000    0.001    0.000 shape_base.py:612(column_stack)
      162    0.001    0.000    0.001    0.000 transforms.py:2897(_interval_contains_close)
      509    0.001    0.000    0.001    0.000 lines.py:1291(set_ydata)
      251    0.001    0.000    0.001    0.000 __init__.py:64(check_isinstance)
     5765    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     4290    0.001    0.000    0.001    0.000 linalg.py:2379(_norm_dispatcher)
   160/40    0.001    0.000    0.005    0.000 copy.py:227(_deepcopy_dict)
       26    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       44    0.001    0.000    0.001    0.000 transforms.py:2817(nonsingular)
      528    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
     1430    0.001    0.000    0.001    0.000 _quad_vec.py:84(_get_sizeof)
        2    0.001    0.000    0.002    0.001 font_manager.py:1393(_findfont_cached)
      104    0.001    0.000    0.001    0.000 backend_bases.py:766(__init__)
       52    0.001    0.000    0.001    0.000 stride_tricks.py:340(_broadcast_to)
      455    0.001    0.000    0.001    0.000 transforms.py:1849(transform_affine)
       90    0.001    0.000    0.001    0.000 transforms.py:626(translated)
       18    0.000    0.000    0.001    0.000 ticker.py:781(_set_format)
     3020    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     5006    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      374    0.000    0.000    0.002    0.000 fromnumeric.py:53(_wrapfunc)
  538/503    0.000    0.000    0.003    0.000 contextlib.py:139(__exit__)
     2860    0.000    0.000    0.000    0.000 {built-in method _heapq.heappush}
     1430    0.000    0.000    0.000    0.000 {built-in method sys.getsizeof}
 1111/971    0.000    0.000    0.005    0.000 {built-in method builtins.next}
      130    0.000    0.000    0.000    0.000 {built-in method posix.stat}
      136    0.000    0.000    0.001    0.000 font_manager.py:814(set_size)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
      710    0.000    0.000    0.002    0.000 enum.py:359(__call__)
      394    0.000    0.000    0.001    0.000 colors.py:268(to_rgba)
     3577    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       63    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       43    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
     1430    0.000    0.000    0.000    0.000 _util.py:493(__call__)
      131    0.000    0.000    0.002    0.000 axis.py:508(update_position)
        6    0.000    0.000    0.001    0.000 enum.py:180(__new__)
      159    0.000    0.000    0.004    0.000 transforms.py:1472(transform)
       88    0.000    0.000    0.002    0.000 font_manager.py:595(__init__)
      984    0.000    0.000    0.001    0.000 function_base.py:348(iterable)
       36    0.000    0.000    0.000    0.000 ticker.py:1904(scale_range)
      132    0.000    0.000    0.001    0.000 _base.py:836(<dictcomp>)
      516    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      216    0.000    0.000    0.003    0.000 transforms.py:813(from_extents)
      497    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      105    0.000    0.000    0.001    0.000 transforms.py:2043(scale)
    79/78    0.000    0.000    0.001    0.000 transforms.py:1777(__eq__)
 1587/971    0.000    0.000    0.002    0.000 {built-in method builtins.hash}
  381/337    0.000    0.000    0.000    0.000 transforms.py:167(_invalidate_internal)
      137    0.000    0.000    0.007    0.000 markers.py:306(_set_marker)
       73    0.000    0.000    0.000    0.000 stride_tricks.py:416(_broadcast_shape)
      750    0.000    0.000    0.002    0.000 artist.py:416(pchanged)
       18    0.000    0.000    0.007    0.000 axis.py:1497(get_minorticklocs)
       18    0.000    0.000    0.001    0.000 numeric.py:2330(within_tol)
     1430    0.000    0.000    0.000    0.000 _quad_vec.py:13(__init__)
       66    0.000    0.000    0.001    0.000 artist.py:1155(update_from)
       24    0.000    0.000    0.005    0.000 axis.py:2757(get_tick_space)
       51    0.000    0.000    0.003    0.000 text.py:157(_reset_visual_defaults)
       94    0.000    0.000    0.001    0.000 path.py:99(__init__)
      293    0.000    0.000    0.001    0.000 cbook.py:909(get_siblings)
       65    0.000    0.000    0.004    0.000 font_manager.py:1233(findfont)
     3524    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      510    0.000    0.000    0.001    0.000 colors.py:216(_is_nth_color)
      266    0.000    0.000    0.001    0.000 lines.py:1270(set_xdata)
      116    0.000    0.000    0.000    0.000 font_manager.py:1173(score_stretch)
      538    0.000    0.000    0.001    0.000 contextlib.py:279(helper)
       68    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       34    0.000    0.000    0.007    0.000 backend_agg.py:187(draw_text)
      601    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      913    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      151    0.000    0.000    0.000    0.000 cbook.py:181(__init__)
      884    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x561b87a6c9a0}
  538/503    0.000    0.000    0.003    0.000 contextlib.py:130(__enter__)
       94    0.000    0.000    0.000    0.000 transforms.py:368(bounds)
       63    0.000    0.000    0.001    0.000 font_manager.py:1525(get_font)
  182/119    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       44    0.000    0.000    0.000    0.000 getlimits.py:589(smallest_normal)
      573    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      345    0.000    0.000    0.001    0.000 artist.py:103(_stale_axes_callback)
      116    0.000    0.000    0.000    0.000 font_manager.py:1115(score_family)
       25    0.000    0.000    0.000    0.000 {built-in method io.open_code}
      615    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        2    0.000    0.000    0.000    0.000 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      225    0.000    0.000    0.000    0.000 cbook.py:1324(is_math_text)
      407    0.000    0.000    0.004    0.000 font_manager.py:899(copy)
     1430    0.000    0.000    0.000    0.000 _util.py:488(__exit__)
      166    0.000    0.000    0.001    0.000 text.py:1279(_preprocess_math)
      264    0.000    0.000    0.007    0.000 artist.py:1223(set)
      445    0.000    0.000    0.002    0.000 transforms.py:1782(transform)
       68    0.000    0.000    0.000    0.000 transforms.py:608(padded)
      121    0.000    0.000    0.001    0.000 transforms.py:2348(__init__)
       73    0.000    0.000    0.002    0.000 stride_tricks.py:480(broadcast_arrays)
      706    0.000    0.000    0.000    0.000 enum.py:678(__new__)
       36    0.000    0.000    0.002    0.000 transforms.py:463(transformed)
     1430    0.000    0.000    0.000    0.000 {built-in method _heapq.heappop}
      337    0.000    0.000    0.001    0.000 transforms.py:158(invalidate)
    80/76    0.000    0.000    0.000    0.000 spines.py:339(get_spine_transform)
       94    0.000    0.000    0.000    0.000 __init__.py:132(check_shape)
     1651    0.000    0.000    0.000    0.000 artist.py:293(axes)
      528    0.000    0.000    0.000    0.000 copyreg.py:100(__newobj__)
       63    0.000    0.000    0.005    0.000 backend_agg.py:250(_prepare_font)
      162    0.000    0.000    0.001    0.000 ticker.py:514(_format_maybe_minus_and_locale)
  484/255    0.000    0.000    0.000    0.000 transforms.py:2398(<lambda>)
       18    0.000    0.000    0.001    0.000 ticker.py:708(_compute_offset)
    16/10    0.000    0.000    0.004    0.000 offsetbox.py:505(_get_bbox_and_child_offsets)
       63    0.000    0.000    0.003    0.000 font_manager.py:1303(_find_fonts_by_props)
       18    0.000    0.000    0.001    0.000 ticker.py:747(_set_order_of_magnitude)
  132/126    0.000    0.000    0.002    0.000 _base.py:833(_unstale_viewLim)
      334    0.000    0.000    0.000    0.000 cbook.py:1337(_to_unmasked_float_array)
      390    0.000    0.000    0.001    0.000 font_manager.py:1289(<genexpr>)
      151    0.000    0.000    0.001    0.000 transforms.py:1998(rotate_deg)
      264    0.000    0.000    0.008    0.000 artist.py:147(<lambda>)
       54    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
       31    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
       66    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
     1026    0.000    0.000    0.000    0.000 transforms.py:1036(get_points)
       40    0.000    0.000    0.001    0.000 transforms.py:482(anchored)
     1962    0.000    0.000    0.000    0.000 copy.py:107(_copy_immutable)
      426    0.000    0.000    0.000    0.000 copy.py:243(_keep_alive)
       18    0.000    0.000    0.002    0.000 numeric.py:2249(isclose)
       97    0.000    0.000    0.001    0.000 markers.py:257(_recache)
       36    0.000    0.000    0.003    0.000 transforms.py:1418(__sub__)
        4    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
      523    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      874    0.000    0.000    0.000    0.000 transforms.py:1929(get_matrix)
      162    0.000    0.000    0.001    0.000 ticker.py:572(__call__)
      453    0.000    0.000    0.000    0.000 text.py:1262(set_text)
      484    0.000    0.000    0.000    0.000 fromnumeric.py:72(<dictcomp>)
     1600    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       36    0.000    0.000    0.001    0.000 axis.py:1564(_get_tick_label_size)
       59    0.000    0.000    0.000    0.000 lines.py:1138(set_linestyle)
       26    0.000    0.000    0.026    0.001 axis.py:287(draw)
      189    0.000    0.000    0.000    0.000 font_manager.py:722(set_family)
       36    0.000    0.000    0.013    0.000 ticker.py:2138(__call__)
       70    0.000    0.000    0.003    0.000 artist.py:1229(_cm_set)
      293    0.000    0.000    0.000    0.000 weakref.py:452(get)
       14    0.000    0.000    0.002    0.000 patches.py:530(_draw_paths_with_artist_properties)
       36    0.000    0.000    0.000    0.000 _methods.py:90(_clip)
      262    0.000    0.000    0.001    0.000 figure.py:68(_stale_figure_callback)
      177    0.000    0.000    0.000    0.000 lines.py:1197(_set_markercolor)
        1    0.000    0.000    0.000    0.000 font_manager.py:1493(_get_font)
        6    0.000    0.000    0.009    0.002 spines.py:142(get_window_extent)
      334    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      142    0.000    0.000    0.001    0.000 transforms.py:2498(composite_transform_factory)
       37    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:921(_find_spec)
       12    0.000    0.000    0.002    0.000 axis.py:2514(get_tick_space)
      362    0.000    0.000    0.001    0.000 _methods.py:39(_amax)
       90    0.000    0.000    0.000    0.000 enum.py:89(__setitem__)
      196    0.000    0.000    0.003    0.000 transforms.py:804(from_bounds)
       36    0.000    0.000    0.012    0.000 ticker.py:2142(tick_values)
      216    0.000    0.000    0.002    0.000 fromnumeric.py:200(reshape)
        4    0.000    0.000    0.065    0.016 axis.py:1379(draw)
       94    0.000    0.000    0.000    0.000 path.py:202(_update_values)
      137    0.000    0.000    0.008    0.000 markers.py:225(__init__)
      290    0.000    0.000    0.001    0.000 {method 'min' of 'numpy.ndarray' objects}
      218    0.000    0.000    0.001    0.000 fromnumeric.py:2836(min)
       12    0.000    0.000    0.018    0.002 axis.py:1315(<listcomp>)
      334    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      263    0.000    0.000    0.001    0.000 pyplot.py:966(_auto_draw_if_interactive)
      601    0.000    0.000    0.001    0.000 abc.py:117(__instancecheck__)
        2    0.000    0.000    0.000    0.000 doccer.py:13(docformat)
     1430    0.000    0.000    0.000    0.000 {built-in method _heapq.heapify}
      120    0.000    0.000    0.000    0.000 path.py:162(_fast_from_codes_and_verts)
      222    0.000    0.000    0.001    0.000 fromnumeric.py:2692(max)
     1161    0.000    0.000    0.000    0.000 font_manager.py:700(get_size)
      334    0.000    0.000    0.007    0.000 artist.py:1212(_internal_update)
       29    0.000    0.000    0.005    0.000 backend_agg.py:208(get_text_width_height_descent)
       94    0.000    0.000    0.000    0.000 text.py:890(get_unitless_position)
      362    0.000    0.000    0.001    0.000 {method 'max' of 'numpy.ndarray' objects}
       36    0.000    0.000    0.001    0.000 ticker.py:216(<listcomp>)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
       25    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
     12/8    0.000    0.000    0.004    0.000 offsetbox.py:473(_get_bbox_and_child_offsets)
      308    0.000    0.000    0.002    0.000 font_manager.py:649(__eq__)
       63    0.000    0.000    0.000    0.000 {method 'clear' of 'matplotlib.ft2font.FT2Font' objects}
       50    0.000    0.000    0.001    0.000 axis.py:447(update_position)
       44    0.000    0.000    0.000    0.000 getlimits.py:484(__new__)
     1430    0.000    0.000    0.000    0.000 _util.py:473(__enter__)
     1177    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       25    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      159    0.000    0.000    0.003    0.000 transforms.py:2406(transform_affine)
       88    0.000    0.000    0.000    0.000 font_manager.py:736(set_style)
     1124    0.000    0.000    0.000    0.000 font_manager.py:655(get_family)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedRandom' objects}
       44    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
      224    0.000    0.000    0.000    0.000 artist.py:450(get_transform)
       47    0.000    0.000    0.005    0.000 text.py:104(__init__)
    38/14    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap>:1022(_find_and_load)
      334    0.000    0.000    0.000    0.000 text.py:1203(set_y)
       19    0.000    0.000    0.001    0.000 patches.py:746(get_patch_transform)
      450    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
     1866    0.000    0.000    0.000    0.000 copy.py:182(_deepcopy_atomic)
       50    0.000    0.000    0.002    0.000 text.py:194(update)
       40    0.000    0.000    0.006    0.000 lines.py:1336(update_from)
       56    0.000    0.000    0.000    0.000 transforms.py:2731(__init__)
      290    0.000    0.000    0.001    0.000 _methods.py:43(_amin)
      137    0.000    0.000    0.000    0.000 markers.py:282(_set_fillstyle)
       63    0.000    0.000    0.000    0.000 backend_agg.py:42(get_hinting_flag)
       88    0.000    0.000    0.001    0.000 transforms.py:302(xmin)
       18    0.000    0.000    0.001    0.000 axis.py:347(_apply_params)
       38    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
      104    0.000    0.000    0.001    0.000 backend_bases.py:934(set_clip_path)
      947    0.000    0.000    0.000    0.000 font_manager.py:706(get_file)
     1630    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       66    0.000    0.000    0.001    0.000 transforms.py:1612(transform_path_non_affine)
        1    0.000    0.000    0.001    0.001 figure.py:2398(__init__)
      160    0.000    0.000    0.000    0.000 transforms.py:2411(transform_non_affine)
      146    0.000    0.000    0.000    0.000 transforms.py:1355(_iter_break_from_left_to_right)
      166    0.000    0.000    0.000    0.000 text.py:683(_get_wrapped_text)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      144    0.000    0.000    0.001    0.000 artist.py:730(set_figure)
       82    0.000    0.000    0.001    0.000 transforms.py:1833(frozen)
      142    0.000    0.000    0.001    0.000 transforms.py:1340(__add__)
       98    0.000    0.000    0.001    0.000 transforms.py:317(ymax)
      116    0.000    0.000    0.000    0.000 font_manager.py:1191(score_weight)
      590    0.000    0.000    0.000    0.000 artist.py:841(get_visible)
      227    0.000    0.000    0.000    0.000 artist.py:269(convert_xunits)
       11    0.000    0.000    0.012    0.001 axis.py:469(__init__)
       44    0.000    0.000    0.004    0.000 backend_agg.py:95(draw_path)
     1003    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       14    0.000    0.000    0.000    0.000 spines.py:234(_adjust_location)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       36    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      116    0.000    0.000    0.001    0.000 lines.py:647(set_data)
      528    0.000    0.000    0.000    0.000 _base.py:837(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
      109    0.000    0.000    0.000    0.000 transforms.py:341(intervaly)
       56    0.000    0.000    0.001    0.000 transforms.py:2746(_revalidate)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
       83    0.000    0.000    0.000    0.000 transforms.py:1106(get_points)
     1061    0.000    0.000    0.000    0.000 font_manager.py:671(get_style)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
        2    0.000    0.000    0.000    0.000 function_base.py:24(linspace)
       66    0.000    0.000    0.000    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
     1061    0.000    0.000    0.000    0.000 font_manager.py:677(get_variant)
      8/1    0.000    0.000    0.007    0.007 pyplot.py:284(switch_backend)
      290    0.000    0.000    0.000    0.000 cbook.py:1851(_str_equal)
      110    0.000    0.000    0.002    0.000 axis.py:2265(getter)
      104    0.000    0.000    0.001    0.000 artist.py:923(_set_gc_clip)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      115    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
       16    0.000    0.000    0.003    0.000 transforms.py:651(union)
       16    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedRandom' objects}
        6    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
    28/13    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap>:664(_load_unlocked)
       63    0.000    0.000    0.000    0.000 {method 'set_size' of 'matplotlib.ft2font.FT2Font' objects}
     1061    0.000    0.000    0.000    0.000 font_manager.py:683(get_weight)
       98    0.000    0.000    0.000    0.000 text.py:1246(set_verticalalignment)
       94    0.000    0.000    0.000    0.000 transforms.py:307(ymin)
     1061    0.000    0.000    0.000    0.000 font_manager.py:692(get_stretch)
       44    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
      130    0.000    0.000    0.002    0.000 _base.py:847(viewLim)
      336    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        2    0.000    0.000    0.035    0.018 _base.py:2943(_update_title_position)
      263    0.000    0.000    0.000    0.000 __init__.py:1285(is_interactive)
      162    0.000    0.000    0.000    0.000 ticker.py:245(fix_minus)
       93    0.000    0.000    0.000    0.000 font_manager.py:762(set_weight)
       88    0.000    0.000    0.000    0.000 transforms.py:312(xmax)
   101/55    0.000    0.000    0.000    0.000 _base.py:989(get_yaxis_transform)
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        4    0.000    0.000    0.020    0.005 axis.py:2599(_update_label_position)
    37/13    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      485    0.000    0.000    0.000    0.000 figure.py:2758(_get_dpi)
       88    0.000    0.000    0.000    0.000 font_manager.py:749(set_variant)
      945    0.000    0.000    0.000    0.000 font_manager.py:864(get_math_fontfamily)
       36    0.000    0.000    0.004    0.000 ticker.py:213(format_ticks)
      151    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
      125    0.000    0.000    0.000    0.000 artist.py:437(set_transform)
       52    0.000    0.000    0.001    0.000 text.py:1303(set_fontproperties)
      166    0.000    0.000    0.000    0.000 text.py:284(get_rotation)
      202    0.000    0.000    0.000    0.000 scale.py:115(get_transform)
      171    0.000    0.000    0.000    0.000 text.py:1192(set_x)
      153    0.000    0.000    0.000    0.000 transforms.py:2592(get_matrix)
      346    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       18    0.000    0.000    0.003    0.000 ticker.py:699(set_locs)
       10    0.000    0.000    0.003    0.000 offsetbox.py:794(get_bbox)
       57    0.000    0.000    0.000    0.000 text.py:982(set_color)
      116    0.000    0.000    0.001    0.000 colors.py:240(_check_color_like)
     16/8    0.000    0.000    0.000    0.000 inspect.py:2375(_signature_from_callable)
        8    0.000    0.000    0.000    0.000 inspect.py:2280(_signature_from_function)
       59    0.000    0.000    0.000    0.000 lines.py:1407(set_dash_capstyle)
      137    0.000    0.000    0.000    0.000 lines.py:75(_scale_dashes)
      486    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       16    0.000    0.000    0.001    0.000 artist.py:772(set_clip_path)
       35    0.000    0.000    0.001    0.000 patches.py:259(get_transform)
      400    0.000    0.000    0.000    0.000 copy.py:264(<genexpr>)
        8    0.000    0.000    0.009    0.001 axis.py:412(__init__)
      116    0.000    0.000    0.001    0.000 colors.py:221(is_color_like)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
       53    0.000    0.000    0.000    0.000 text.py:1214(set_rotation)
        1    0.000    0.000    0.096    0.096 backend_agg.py:440(_print_pil)
      282    0.000    0.000    0.000    0.000 __init__.py:152(<genexpr>)
       57    0.000    0.000    0.000    0.000 transforms.py:332(intervalx)
       18    0.000    0.000    0.021    0.001 axis.py:1606(get_major_ticks)
       28    0.000    0.000    0.000    0.000 offsetbox.py:76(_get_packed_offsets)
      233    0.000    0.000    0.000    0.000 artist.py:281(convert_yunits)
      185    0.000    0.000    0.000    0.000 {built-in method math.cos}
       18    0.000    0.000    0.008    0.000 axis.py:1493(get_majorticklocs)
      238    0.000    0.000    0.000    0.000 transforms.py:2123(transform)
        6    0.000    0.000    0.000    0.000 transforms.py:1054(set)
      240    0.000    0.000    0.000    0.000 transforms.py:1758(<lambda>)
      118    0.000    0.000    0.001    0.000 font_manager.py:615(_from_any)
       76    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
       52    0.000    0.000    0.000    0.000 types.py:176(__get__)
      443    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      384    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       11    0.000    0.000    0.171    0.016 pdf.py:22(pdf)
      104    0.000    0.000    0.002    0.000 backend_bases.py:690(new_gc)
       26    0.000    0.000    0.001    0.000 text.py:342(update_from)
       28    0.000    0.000    0.000    0.000 offsetbox.py:157(_get_aligned_offsets)
